playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
25,35.0,1.0,11.773809523809524,5.2,1.9,3.8,48.9%,0.1,0.4,26.7%,1.1,1.7,67.2%,0.9,2.0,2.9,1.4,0.2,1.1,0.3,0.2,1.7,1.5,5.8,003533,"ZALMANSON, IDAN"
26,48.0,25.0,16.129166666666666,5.8,1.8,2.5,71.2%,0.6,1.5,38.6%,0.6,0.9,65.1%,1.1,1.9,3.0,0.5,0.5,0.7,0.2,0.2,2.0,0.9,6.0,010161,"KRAAG, YANNICK"
27,47.0,25.0,19.905673758865248,8.1,0.7,1.5,45.1%,1.8,5.2,35.2%,1.2,1.7,71.2%,0.4,2.3,2.6,1.1,0.7,1.3,0.1,0.2,2.3,1.8,6.0,004945,"PAUL, BRANDON"
28,39.0,5.0,19.95,5.3,1.4,2.7,51.9%,0.6,1.3,44.2%,0.7,0.8,83.9%,0.5,1.3,1.8,2.6,0.8,1.1,0.2,0.2,2.2,1.0,6.0,003783,"UGURLU, BERK"
29,36.0,22.0,16.062037037037037,4.2,1.6,2.8,55.9%,0.2,0.8,22.2%,0.6,0.8,66.7%,1.4,3.0,4.3,0.5,0.4,0.5,0.1,0.3,1.6,1.0,6.0,004645,"MINIOTAS, REGIMANTAS"
30,30.0,4.0,16.671666666666667,4.1,1.4,2.3,59.4%,0.4,1.1,33.3%,0.2,0.3,77.8%,0.9,2.1,3.0,0.9,0.5,0.6,0.3,0.1,0.8,0.6,6.1,004117,"BROOKS, JEFF"
31,39.0,12.0,18.754273504273502,7.6,1.4,2.6,51.5%,1.3,3.5,37.2%,0.9,1.3,74%,0.3,1.3,1.5,2.4,0.8,1.7,0.2,0.1,2.4,1.6,6.1,004773,"NELSON, LUKE"
32,36.0,23.0,25.81990740740741,8.4,1.9,4.1,45.9%,1.0,3.3,31.4%,1.6,2.1,78.7%,0.6,2.3,2.9,1.3,0.7,1.6,0.1,0.2,2.8,2.3,6.3,012019,"BEST, AARON"
33,40.0,4.0,19.9975,7.1,1.0,2.1,46.4%,1.4,3.8,38.7%,0.8,1.0,78%,0.8,2.0,2.9,1.1,0.4,0.7,0.0,0.2,2.0,1.4,6.4,007914,"ARSLAN, YIGIT"
34,59.0,49.0,16.828531073446328,5.5,1.9,3.5,55.3%,0.0,0.0,0%,1.6,2.4,67.8%,1.8,2.2,3.9,0.5,0.6,0.9,0.4,0.3,3.1,2.4,6.8,011837,"KOKILA, KEVIN"
35,47.0,12.0,14.776950354609928,6.1,0.9,1.7,50.6%,1.1,2.7,43.2%,0.9,1.0,91.5%,0.3,1.1,1.4,2.5,0.5,1.1,0.0,0.1,1.1,1.1,6.8,JUG,"RIBAS, PAU"
36,33.0,16.0,21.733838383838386,7.2,2.1,4.0,53.4%,0.6,2.0,30.8%,1.2,1.6,73.1%,0.4,1.5,1.8,1.8,0.8,1.2,0.1,0.4,1.4,1.7,6.8,007398,"POPOVIC, PETAR"
37,37.0,3.0,17.568468468468467,8.3,1.8,3.2,56.4%,1.2,3.4,34.6%,1.1,1.5,76.4%,0.3,1.6,1.9,2.0,0.8,1.5,0.1,0.2,2.6,2.1,6.8,011947,"SANON, ISSUF"
38,37.0,18.0,23.381981981981983,7.1,2.2,4.3,51.9%,0.4,1.6,27.6%,1.4,2.1,67.1%,1.9,2.2,4.1,0.9,0.8,1.2,0.2,0.5,2.4,1.7,6.9,006693,"SAYBIR, YIGITCAN"
39,42.0,17.0,18.62619047619048,5.9,1.0,1.6,58%,1.1,2.8,38.8%,0.8,1.0,78%,0.3,1.6,2.0,3.5,0.5,1.7,0.1,0.1,2.0,1.6,7.1,011161,"JULIEN, AXEL"
40,38.0,9.0,18.231140350877197,5.4,1.9,2.9,67.3%,0.2,0.9,19.4%,1.0,1.3,74.5%,1.2,1.9,3.1,1.4,0.5,0.9,0.3,0.2,1.9,1.4,7.2,005714,"MEJERIS, MAREKS"
41,31.0,19.0,19.18010752688172,7.6,1.5,2.6,58.8%,0.8,3.2,25%,2.2,2.7,79.8%,0.5,1.5,1.9,1.6,0.8,1.0,0.2,0.3,2.8,3.2,7.2,009299,"RUBSTAVICIUS, MANTAS"
42,43.0,16.0,22.60232558139535,8.7,1.3,2.3,57.7%,1.8,4.8,37.2%,0.7,0.8,82.9%,0.8,3.0,3.8,1.0,0.3,1.0,0.2,0.2,2.3,0.8,7.2,011980,"SESTINA, NATHAN"
43,61.0,17.0,21.64453551912568,6.6,1.6,2.8,55.6%,0.7,2.3,31.2%,1.3,1.8,75.7%,0.2,1.6,1.8,3.4,0.8,1.4,0.0,0.2,2.1,1.6,7.3,004846,"TIMOR, BAR"
44,66.0,8.0,16.775252525252526,6.0,1.5,2.3,67.1%,0.5,1.7,29.2%,1.4,1.8,78.3%,0.5,2.3,2.8,1.3,0.5,1.0,0.1,0.2,1.5,2.0,7.6,005005,"SALVO, MIQUEL"
45,40.0,4.0,18.31,6.2,0.7,1.3,54.7%,1.3,3.5,37.4%,0.9,1.0,89.7%,0.4,1.2,1.5,4.2,0.6,1.8,0.0,0.1,1.7,1.5,7.7,001607,"BASSAS, FERRAN"
45,40.0,23.0,19.25375,9.6,1.6,3.0,54.2%,1.8,5.0,36.2%,0.9,1.1,86%,0.3,1.2,1.5,2.2,0.8,1.0,0.0,0.2,1.6,1.2,7.7,003637,"SLAUGHTER, AJ"
47,33.0,20.0,21.96969696969697,9.1,1.5,2.8,52.7%,1.8,5.0,35.2%,0.9,1.4,61.7%,0.8,3.2,4.0,1.5,0.5,1.3,0.3,0.3,1.9,1.4,8.2,011187,"MEISNER, LUKAS"
48,54.0,19.0,19.64012345679012,6.0,2.7,5.0,53.1%,0.0,0.1,25%,0.6,1.0,56.4%,2.0,2.6,4.6,1.4,1.1,0.9,0.1,0.4,2.8,1.8,8.2,010461,"MALDUNAS, GABRIELIUS"
49,31.0,7.0,16.248924731182793,5.9,2.4,4.0,61%,0.0,0.0,0%,1.1,1.7,64.2%,1.8,2.0,3.8,0.6,0.4,0.9,0.5,0.1,1.2,1.5,8.4,003034,"PARAKHOUSKI, ARTSIOM"
50,63.0,11.0,17.477248677248678,7.5,2.0,3.2,63.2%,1.0,2.0,47.3%,0.5,0.7,75.6%,0.9,2.8,3.7,0.7,0.5,0.8,0.3,0.1,1.9,1.0,8.4,010452,"PELOS, PIERRE"
51,34.0,18.0,23.3,7.2,1.9,3.4,55.3%,1.0,2.1,45.8%,0.6,0.9,66.7%,1.4,2.6,4.0,2.4,0.6,1.4,0.1,0.1,2.4,1.1,8.5,009663,"HINRICHS, SETH"
52,42.0,33.0,22.148015873015872,9.4,2.9,5.3,53.8%,0.6,2.0,31.7%,1.8,2.3,79.4%,1.2,3.4,4.5,1.3,0.9,1.9,0.4,0.3,3.3,1.9,8.8,011909,"PARKS, JORDAN"
53,47.0,14.0,20.83014184397163,7.2,2.3,4.7,48.9%,0.5,1.6,28.9%,1.1,1.5,76.1%,0.6,1.3,1.9,4.0,1.0,1.6,0.1,0.2,1.5,1.9,8.8,010449,"BENITEZ, HUGO"
54,45.0,35.0,22.72888888888889,7.9,0.6,1.1,57.1%,1.8,4.2,43.3%,1.3,1.5,83.8%,0.5,1.1,1.6,3.1,0.8,1.0,0.1,0.2,2.4,1.8,8.8,010582,"KLEPEISZ, THOMAS"
55,37.0,3.0,22.783783783783782,9.9,2.7,5.2,52.1%,0.9,2.8,31.4%,1.8,2.5,72.8%,0.6,2.4,3.0,2.2,0.7,1.6,0.4,0.6,2.6,2.6,8.9,012698,"MOKOKA, ADAM"
56,60.0,56.0,25.843055555555555,11.9,1.6,3.6,44.7%,2.4,6.2,39%,1.4,1.8,78.5%,0.4,1.8,2.3,3.4,0.9,2.3,0.1,0.3,3.3,2.3,8.9,008945,"NEEDHAM, DEREK"
57,42.0,27.0,20.946031746031743,8.4,0.9,1.9,49.4%,1.6,3.6,43.4%,1.8,2.5,72.6%,0.4,2.1,2.5,1.7,1.5,0.9,0.4,0.1,2.9,2.2,9.1,010431,"MORGAN, JEREMY"
58,37.0,25.0,24.163063063063063,7.2,1.4,3.1,46.9%,1.2,3.1,39.7%,0.6,1.0,63.2%,0.4,2.4,2.8,3.1,1.0,1.2,0.0,0.1,1.5,1.7,9.2,005516,"ZEMAITIS, KRISTUPAS"
59,53.0,20.0,15.632704402515722,8.2,2.7,4.4,61.4%,0.3,0.9,36.2%,1.8,2.6,67.9%,1.6,2.2,3.9,1.1,0.7,1.4,0.6,0.2,2.8,2.6,9.5,003759,"TESSITORI,  AMEDEO"
60,56.0,51.0,22.47023809523809,9.0,1.8,3.2,55.9%,1.4,3.5,41.8%,1.1,1.4,81.8%,1.1,2.3,3.4,1.0,0.8,0.6,0.1,0.1,1.8,1.6,9.6,006588,"SHURNA, JOHN"
61,48.0,38.0,23.921180555555555,10.0,2.5,4.6,53.6%,1.3,3.4,37.4%,1.3,1.8,71.8%,0.8,3.6,4.4,1.5,0.4,1.7,0.2,0.2,2.4,2.2,9.7,011928,"SIMMS, AAMIR"
