player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
"BEAUBOIS, RODRIGUE",94.0,22.32677304964539,9.9,1.9,2.0,0.8,0.5,0.8,55.3,44.5,86.2,9.6,7.6
,,,,,,,,,,,,,7.6
,,,,,,,,,,,,,7.5
"FALL, YOUSSOUPHA",94.0,16.935460992907803,7.6,5.4,0.2,0.2,0.4,1.0,65.8,0.0,65.4,10.3,7.5
"LUNDBERG, IFFE",90.0,21.34611111111112,8.5,2.2,2.3,0.7,0.0,1.2,50.0,32.8,79.2,8.1,7.5
"PROCIDA, GABRIELE",78.0,17.476282051282052,7.9,1.9,0.7,0.9,0.3,1.0,60.5,25.0,76.9,6.5,7.5
,,,,,,,,,,,,,7.5
,,,,,,,,,,,,,7.5
,,,,,,,,,,,,,7.5
,,,,,,,,,,,,,7.5
,,,,,,,,,,,,,7.5
"CALATHES, NICK",90.0,23.658703703703704,7.0,3.8,4.7,1.0,0.1,1.9,51.2,32.7,44.0,9.4,7.4
"MCKISSIC, SHAQUIELLE",111.0,16.865015015015015,8.0,1.7,1.4,0.8,0.0,0.9,63.9,32.4,68.0,7.7,7.4
"MARINKOVIC, VANJA",92.0,22.9572463768116,9.4,1.9,1.3,0.4,0.0,0.8,52.0,39.2,78.4,7.1,7.4
,,,,,,,,,,,,,7.4
,,,,,,,,,,,,,7.4
,,,,,,,,,,,,,7.3
"HAYES, KEVARRIUS",109.0,18.86376146788991,5.8,4.3,0.5,0.8,0.8,0.9,56.1,50.0,75.9,8.1,7.3
"PAJOLA, ALESSANDRO",93.0,19.052688172043013,4.1,2.0,3.2,1.0,0.1,1.1,48.4,34.5,75.0,5.6,7.3
,,,,,,,,,,,,,7.3
,,,,,,,,,,,,,7.3
,,,,,,,,,,,,,7.2
,,,,,,,,,,,,,7.2
"JAITEH, MAM",89.0,14.310674157303373,6.7,3.8,0.5,0.4,0.2,1.1,61.4,0.0,57.4,7.8,7.2
,,,,,,,,,,,,,7.2
,,,,,,,,,,,,,7.2
,,,,,,,,,,,,,7.1
,,,,,,,,,,,,,7.1
"STRAZEL, MATTHEW",83.0,15.146586345381529,5.8,0.8,1.7,0.4,0.0,0.8,50.0,38.4,81.1,5.3,7.1
,,,,,,,,,,,,,7.1
"MOTIEJUNAS, DONATAS",109.0,16.96834862385321,8.0,3.4,0.9,0.4,0.2,1.0,61.6,35.0,61.5,9.4,7.0
"SMITS, ROLANDS",107.0,21.34127725856698,8.9,3.7,1.1,0.4,0.1,1.2,62.0,38.1,81.8,8.7,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,7.0
,,,,,,,,,,,,,6.9
,,,,,,,,,,,,,6.9
"PARRA, JOEL",57.0,14.117543859649125,4.0,2.5,0.5,0.4,0.1,0.4,55.8,25.6,74.3,4.2,6.8
,,,,,,,,,,,,,6.8
,,,,,,,,,,,,,6.7
"GIEDRAITIS, DOVYDAS",76.0,17.928947368421053,4.6,1.2,1.3,0.8,0.0,0.8,45.1,37.9,88.1,3.3,6.6
"BIRUTIS, LAURYNAS",105.0,13.736031746031744,6.0,3.2,0.4,0.2,0.4,0.7,63.9,0.0,64.8,7.1,6.6
"OBST, ANDREAS",83.0,21.326506024096386,9.4,1.8,1.2,0.5,0.0,1.0,44.2,41.2,81.8,6.6,6.5
,,,,,,,,,,,,,6.5
"CANAAN, ISAIAH",115.0,20.078840579710143,9.1,1.2,1.2,0.7,0.1,1.0,47.8,40.0,84.3,6.2,6.5
,,,,,,,,,,,,,6.5
,,,,,,,,,,,,,6.5
,,,,,,,,,,,,,6.5
"PUERTO, JOSEP",58.0,14.867241379310345,3.9,2.3,0.5,0.3,0.0,0.8,51.9,39.4,85.7,3.7,6.5
,,,,,,,,,,,,,6.5
"ANDJUSIC, DANILO",54.0,13.09783950617284,5.7,1.1,0.9,0.3,0.1,0.9,47.8,41.4,89.7,4.9,6.5
,,,,,,,,,,,,,6.5
"OSMANI, ERCAN",62.0,15.409408602150538,5.7,2.8,0.9,0.5,0.1,0.8,54.2,37.5,94.1,6.0,6.5
,,,,,,,,,,,,,6.4
"HACKETT, DANIEL",95.0,20.563333333333333,5.7,2.4,2.8,0.6,0.0,1.4,50.0,38.8,78.9,7.3,6.3
,,,,,,,,,,,,,6.3
"ABALDE, ALBERTO",87.0,15.964942528735632,4.3,2.1,1.4,0.4,0.0,0.4,52.5,40.2,79.3,4.9,6.1
,,,,,,,,,,,,,6.1
"DUNSTON, BRYANT",99.0,16.38922558922559,4.3,3.3,0.8,0.7,0.6,0.6,63.7,15.4,62.1,6.3,6.0
,,,,,,,,,,,,,6.0
"DIBARTOLOMEO, JOHN",101.0,16.455940594059406,5.4,1.9,1.0,0.7,0.0,0.4,38.5,41.4,96.1,5.8,6.0
,,,,,,,,,,,,,6.0
"TONUT, STEFANO",80.0,15.943958333333333,4.5,1.9,1.1,0.5,0.0,0.4,56.8,45.5,64.3,5.3,6.0
"BUTKEVICIUS, ARNAS",92.0,21.95905797101449,4.9,3.6,1.3,1.0,0.2,1.0,54.8,33.3,80.5,6.7,6.0
,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,5.9
"OUATTARA, YAKUBA",96.0,12.718055555555557,4.1,1.4,0.2,0.3,0.0,0.3,54.6,36.1,78.6,2.7,5.8
"DA SILVA, OSCAR",89.0,14.149250936329588,3.7,2.8,0.4,0.5,0.2,0.4,59.9,27.8,64.1,4.2,5.7
"LLULL, SERGIO",102.0,17.31078431372549,6.9,1.3,2.2,0.3,0.0,0.9,39.3,30.9,81.9,5.1,5.6
"GIFFEY, NIELS",82.0,16.634349593495934,5.2,2.0,0.7,0.4,0.1,0.5,51.9,45.6,83.6,4.7,5.6
,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,5.4
"LARENTZAKIS, GIANNOULIS",95.0,12.58140350877193,5.2,1.4,1.2,0.5,0.1,0.9,41.5,35.8,77.3,4.2,5.3
,,,,,,,,,,,,,5.3
,,,,,,,,,,,,,5.3
,,,,,,,,,,,,,5.2
,,,,,,,,,,,,,5.2
