playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
45,72.0,3.0,14.984722222222224,4.7,0.8,1.9,44.2%,0.9,2.4,36.2%,0.4,0.4,84.4%,0.2,1.3,1.5,4.3,0.5,1.3,0.0,0.1,2.0,0.9,5.8,CVM,"RODRIGUEZ, SERGIO",EuroLeague
46,62.0,51.0,15.409408602150538,5.7,1.5,2.7,54.2%,0.7,1.8,37.5%,0.8,0.8,94.1%,0.8,2.0,2.8,0.9,0.5,0.8,0.1,0.2,1.7,1.1,6.0,012710,"OSMANI, ERCAN",EuroLeague
47,89.0,16.0,14.969101123595506,4.0,0.8,1.5,52.6%,0.6,1.8,34.4%,0.6,0.8,72.9%,0.8,2.2,3.0,1.0,0.4,0.4,0.5,0.1,1.2,1.1,6.1,002084,"POLONARA, ACHILLE",EuroLeague
48,53.0,26.0,16.68553459119497,6.1,1.2,2.7,44.1%,0.9,2.8,34.2%,0.8,1.4,60.8%,0.4,2.0,2.4,2.0,0.8,1.1,0.2,0.1,2.1,1.9,6.1,005099,"HANGA, ADAM",EuroLeague
49,115.0,85.0,20.078840579710143,9.1,1.1,2.3,47.8%,1.9,4.8,40%,1.2,1.4,84.3%,0.3,1.0,1.2,1.2,0.7,1.0,0.1,0.2,2.0,1.3,6.2,010612,"CANAAN, ISAIAH",EuroLeague
50,68.0,7.0,16.20122549019608,8.0,1.7,3.3,51.6%,1.3,3.1,41.1%,0.7,0.9,78.3%,0.3,0.9,1.2,1.9,0.3,1.1,0.1,0.2,1.8,1.4,6.2,009992,"BRIZUELA, DARIO",EuroLeague
51,80.0,15.0,18.216041666666666,8.0,1.2,2.4,50%,1.6,3.6,45.5%,0.7,0.8,84.6%,0.6,1.8,2.4,1.0,0.4,0.9,0.1,0.2,2.2,0.9,6.2,006961,"BIBEROVIC, TARIK",EuroLeague
52,99.0,50.0,16.38922558922559,4.3,1.8,2.8,63.7%,0.0,0.1,15.4%,0.7,1.2,62.1%,1.5,1.8,3.3,0.8,0.7,0.6,0.6,0.1,2.4,1.3,6.3,003048,"DUNSTON, BRYANT",EuroLeague
53,64.0,39.0,14.8578125,6.4,2.0,3.5,55.5%,0.7,1.8,37.2%,0.5,0.5,90.6%,1.0,1.8,2.9,0.5,0.3,0.6,0.4,0.1,1.3,0.6,6.3,LHK,"PLEISS, TIBOR",EuroLeague
54,90.0,31.0,13.87611111111111,6.3,1.8,2.7,64.9%,0.6,1.5,40.9%,1.0,1.4,70.3%,1.1,1.3,2.4,0.5,0.5,0.7,0.5,0.2,2.3,1.6,6.3,011051,"SMAILAGIC, ALEN",EuroLeague
55,86.0,35.0,18.18313953488372,10.3,1.4,3.2,44.6%,1.9,5.2,36.8%,1.7,2.0,86.9%,0.1,1.0,1.2,1.3,0.4,0.9,0.0,0.2,1.7,1.3,6.4,BCN,"BELINELLI, MARCO",EuroLeague
56,91.0,51.0,17.46923076923077,8.1,2.5,5.1,48.3%,0.6,2.3,27.3%,1.4,1.7,81.7%,0.7,1.9,2.6,1.1,0.3,0.9,0.1,0.4,1.5,1.6,6.5,011983,"BRAZDEIKIS, IGNAS",EuroLeague
57,78.0,24.0,17.476282051282052,7.9,2.0,3.3,60.5%,0.9,3.4,25%,1.3,1.7,76.9%,0.6,1.3,1.9,0.7,0.9,1.0,0.3,0.2,1.3,1.6,6.5,008384,"PROCIDA, GABRIELE",EuroLeague
58,83.0,34.0,21.326506024096386,9.4,0.6,1.3,44.2%,2.6,6.3,41.2%,0.5,0.7,81.8%,0.3,1.5,1.8,1.2,0.5,1.0,0.0,0.2,1.8,1.1,6.6,004508,"OBST, ANDREAS",EuroLeague
