playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,price,fantasy_points_total,fantasy_points_per_game,value_score
145.0,34.0,28.0,24.780882352941177,9.7,3.2,6.1,52.2%,0.6,1.7,32.8%,1.6,1.9,81.8%,0.4,2.4,2.8,4.7,0.8,1.9,0.2,0.5,1.9,2.2,11.6,013367,"FORREST, TRENT",9.9,11.799999999999999,0.34705882352941175,0.0350564468211527
142.0,35.0,35.0,27.185714285714287,9.0,2.0,3.5,57.7%,1.1,2.6,43.5%,1.5,2.3,67.5%,1.3,2.9,4.1,2.6,0.8,1.7,0.1,0.3,2.3,2.7,11.6,004866,"KALINIC, NIKOLA",9.9,11.2,0.32,0.03232323232323232
,,,,,,,,,,,,,,,,,,,,,,,,,,"SELJAAS, ZAC",9.9,,,
138.0,38.0,38.0,26.346929824561403,11.0,2.2,3.7,58.9%,1.7,5.1,33.2%,1.6,2.1,75.9%,1.1,3.9,4.9,1.3,0.9,1.0,0.2,0.3,2.6,2.3,11.3,012610,"WARD, TYSON",9.8,11.299999999999997,0.2973684210526315,0.03034371643394199
98.0,29.0,1.0,17.17183908045977,10.0,2.5,4.4,57.5%,1.3,4.0,33.3%,1.0,1.2,77.8%,0.4,1.1,1.5,2.1,0.4,1.3,0.0,0.5,1.1,1.6,8.0,007032,"LO, MAODO",9.8,7.899999999999999,0.2724137931034482,0.02779732582688247
,,,,,,,,,,,,,,,,,,,,,,,,,,"ASTON JR., DERRICK",9.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIARRA, ALIOU",9.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WATSON, GLYNN",9.8,,,
50.0,33.0,10.0,17.671212121212122,4.8,0.6,1.2,48.7%,1.1,2.9,36.8%,0.4,0.5,82.4%,0.1,1.4,1.5,2.7,0.7,1.0,0.1,0.1,2.2,1.2,5.2,007947,"VILDOZA, LUCA",9.7,5.1999999999999975,0.1575757575757575,0.0162449234614183
,,,,,,,,,,,,,,,,,,,,,,,,,,"WILBEKIN, SCOTTIE",9.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"MASON, NATE",9.7,,,
64.0,32.0,18.0,22.3390625,12.1,1.5,3.4,44.4%,2.5,7.4,33.9%,1.6,1.9,85%,0.2,1.1,1.3,1.5,0.3,1.4,0.0,0.6,2.3,2.2,6.2,011948,"HOWARD, MARKUS",9.6,6.000000000000001,0.18750000000000003,0.019531250000000003
