Player,fantasy_points_mean,fantasy_points_std,fantasy_points_sum,fantasy_points_max,Minutes_mean,Points_mean,TotalRebounds_mean,Assistances_mean,Valuation_mean,Team_first,games_played,player.name,price,value_score,consistency,points_per_credit
"EDWARDS, CARSEN",16.742857142857144,10.059654002770781,586.0,34.0,28.825238095238095,20.37142857142857,2.342857142857143,3.2857142857142856,16.742857142857144,MUN,35.0,"EDWARDS, CARSEN",14.1,1.187436676798379,0.09041874182948847,1.187436676798379
"HERNANGOMEZ, JUANCHO",15.275,8.36043030422447,611.0,40.0,27.32125,9.95,6.95,1.45,15.275,PAN,40.0,"HERNANGOMEZ, JUANCHO",14.0,1.0910714285714287,0.10683269545297383,1.0910714285714287
"WALKER IV, LONNIE",11.263157894736842,9.176310716326748,214.0,25.0,22.292105263157897,13.631578947368421,3.1578947368421053,1.8421052631578947,11.263157894736842,ZAL,19.0,"WALKER IV, LONNIE",14.0,0.8045112781954887,0.09826743973094416,0.8045112781954887
"HEZONJA, MARIO",14.31578947368421,6.802643616322776,544.0,29.0,27.061842105263157,14.868421052631579,5.2894736842105265,1.5263157894736843,14.31578947368421,MAD,38.0,"HEZONJA, MARIO",13.9,1.0299129117758425,0.12816169098227753,1.0299129117758425
"SHIELDS, SHAVON",13.285714285714286,7.080788525126713,372.0,29.0,27.55535714285714,11.964285714285714,3.5714285714285716,2.607142857142857,13.285714285714286,MIL,28.0,"SHIELDS, SHAVON",13.8,0.9627329192546584,0.12375029947765143,0.9627329192546584
"LARKIN, SHANE",15.5,6.686082837035726,434.0,33.0,26.198214285714283,11.714285714285714,2.5714285714285716,4.535714285714286,15.5,IST,28.0,"LARKIN, SHANE",13.6,1.1397058823529411,0.13010528525420728,1.1397058823529411
"PUNTER, KEVIN",16.486486486486488,8.64941109627195,610.0,32.0,27.07702702702703,16.62162162162162,2.189189189189189,3.0,16.486486486486488,BAR,37.0,"PUNTER, KEVIN",13.5,1.2212212212212212,0.10363326735932622,1.2212212212212212
"MALEDON, THEO",20.575757575757574,10.195067137561868,679.0,37.0,27.593434343434346,17.0,3.4545454545454546,4.636363636363637,20.575757575757574,ASV,33.0,"MALEDON, THEO",13.3,1.5470494417862837,0.0893250560905333,1.5470494417862837
"MUSA, DZANAN",12.13888888888889,8.057481980930262,437.0,26.0,21.181018518518517,11.86111111111111,2.8055555555555554,1.9444444444444444,12.13888888888889,MAD,36.0,"MUSA, DZANAN",13.2,0.9196127946127947,0.11040596074112129,0.9196127946127947
"CLYBURN, WILL",15.375,8.92389318432361,369.0,38.0,27.430555555555557,13.75,4.708333333333333,2.375,15.375,VIR,24.0,"CLYBURN, WILL",13.0,1.1826923076923077,0.10076690482518104,1.1826923076923077
"BRYANT, ELIJAH",14.447368421052632,7.744910686139195,549.0,30.0,27.032456140350877,13.842105263157896,4.2368421052631575,3.1315789473684212,14.447368421052632,IST,38.0,"BRYANT, ELIJAH",13.0,1.111336032388664,0.11435222564193981,1.111336032388664
"FOURNIER, EVAN",12.594594594594595,9.858610053764789,466.0,34.0,25.791441441441442,16.08108108108108,2.1621621621621623,2.5675675675675675,12.594594594594595,OLY,37.0,"FOURNIER, EVAN",13.0,0.9688149688149689,0.09209281805393592,0.9688149688149689
"THEIS, DANIEL",12.6,9.612491872558333,189.0,26.0,22.805555555555554,11.733333333333333,5.466666666666667,0.7333333333333333,12.6,MCO,15.0,"THEIS, DANIEL",13.0,0.9692307692307692,0.09422857628619619,0.9692307692307692
"POIRIER, VINCENT",13.41025641025641,7.778911940956472,523.0,29.0,21.361538461538462,9.487179487179487,4.9743589743589745,1.205128205128205,13.41025641025641,IST,39.0,"POIRIER, VINCENT",12.8,1.047676282051282,0.11390933258308192,1.047676282051282
